,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score,name
0,0.251793418611799,0.027812046385939843,0.03158174242292132,0.00822549537662141,0.9494949494949495,0.9393939393939394,0.9595959595959596,0.9390862944162437,0.934010152284264,0.9796954314720813,0.9390862944162437,0.9486232887248117,0.014963147682776621,1,car
0,0.2972461155482701,0.06106699147196793,0.03235374178205218,0.005257379859642241,0.9356060606060606,0.9318181818181818,0.9734848484848485,0.946969696969697,0.9356060606060606,0.9015151515151515,0.928030303030303,0.9361471861471861,0.019985049039631393,1,segment
0,0.29842816080365864,0.045409960399102736,0.036199024745396206,0.008592920389356632,0.9737991266375546,0.9650655021834061,0.9650655021834061,0.9781659388646288,0.9956140350877193,0.9692982456140351,0.9780701754385965,0.9750112180013353,0.009825093975977238,1,mfeat-pixel
0,49.068954944610596,15.924429538980059,0.477870055607387,0.14421535978551892,0.87925,0.88375,0.882375,0.881375,0.877875,0.877625,0.87825,0.8800714285714284,0.002246879922860857,1,Fashion-MNIST
